cpu_times-user,cpu_times-system,cpu_times-children_user,cpu_times-children_system,cpu_times-iowait,memory_full_info-rss,memory_full_info-vms,memory_full_info-shared,memory_full_info-text,memory_full_info-lib,memory_full_info-data,memory_full_info-dirty,memory_full_info-uss,memory_full_info-pss,memory_full_info-swap,memory_percent,cpu_percent
13.16,0.61,0.0,0.0,0.0,2732720128,2808176640,6160384,2818048,0,2793070592,0,1554415616,1555096576,0,16.661280792507657,89.2
13.27,0.61,0.0,0.0,0.0,2753298432,2824953856,6160384,2818048,0,2809847808,0,1741471744,1742169088,0,16.786745854833125,100.4
13.35,0.63,0.0,0.0,0.0,2774401024,2841731072,6160384,2818048,0,2826625024,0,1883897856,1884595200,0,16.915407479256057,89.1
13.45,0.63,0.0,0.0,0.0,2795896832,2859556864,6160384,2818048,0,2844450816,0,1567019008,1567699968,0,17.04646652525209,89.4
13.56,0.64,0.0,0.0,0.0,2816868352,2876334080,6160384,2818048,0,2861228032,0,1926443008,1927140352,0,17.174329009150657,106.9
13.66,0.65,0.0,0.0,0.0,2838364160,2894159872,6160384,2818048,0,2879053824,0,1822011392,1822685184,0,17.30538805514669,97.9
13.76,0.65,0.0,0.0,0.0,2858942464,2910937088,6160384,2818048,0,2895831040,0,1011556352,1012237312,0,17.430853117472157,95.7
13.86,0.65,0.0,0.0,0.0,2880045056,2927714304,6160384,2818048,0,2912608256,0,1989615616,1990312960,0,17.55951474189509,89.2
13.95,0.66,0.0,0.0,0.0,2901540864,2945540096,6160384,2818048,0,2930434048,0,1885184000,1885857792,0,17.690573787891122,89.0
14.05,0.67,0.0,0.0,0.0,2922774528,2962317312,6160384,2818048,0,2947211264,0,1941385216,1942082560,0,17.820034552838422,98.1
14.15,0.67,0.0,0.0,0.0,2943877120,2979094528,6160384,2818048,0,2963988480,0,2021945344,2022642688,0,17.948696177261354,89.0
14.25,0.68,0.0,0.0,0.0,2965635072,3070238720,6160384,2818048,0,3055132672,0,2134740992,2135414784,0,18.08135350430612,95.9
14.35,0.69,0.0,0.0,0.0,2986737664,3087015936,6160384,2818048,0,3071909888,0,1908764672,1909462016,0,18.21001512872905,98.9
14.45,0.69,0.0,0.0,0.0,3007971328,3103793152,6160384,2818048,0,3088687104,0,2034741248,2035438592,0,18.33947589367635,88.2
14.55,0.69,0.0,0.0,0.0,3029860352,3121618944,6160384,2818048,0,3106512896,0,1714286592,1714980864,0,18.47293236124548,88.3
14.65,0.7,0.0,0.0,0.0,3051225088,3138396160,6160384,2818048,0,3123290112,0,2043355136,2044052480,0,18.603192266717144,97.0
14.76,0.71,0.0,0.0,0.0,3073114112,3156221952,6160384,2818048,0,3141115904,0,1757487104,1758168064,0,18.736648734286277,106.0
14.86,0.72,0.0,0.0,0.0,3094216704,3172999168,6160384,2818048,0,3157893120,0,1945657344,1946354688,0,18.86531035870921,98.5
14.96,0.72,0.0,0.0,0.0,3115450368,3189776384,6160384,2818048,0,3174670336,0,2056155136,2056852480,0,18.994771123656506,88.4
